({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'el-salvador-aid: yes', 'mx-missile: no', 'physician-fee-freeze: yes', 'religious-groups-in-schools: yes'}, {'Class Name: republican'}, 'confidence: 0.9379310344827586')
({'mx-missile: no', 'Class Name: republican'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, 'confidence: 0.9315068493150684')
({'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9379310344827586')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican'}, {'religious-groups-in-schools: yes', 'physician-fee-freeze: yes'}, 'confidence: 0.9379310344827586')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9444444444444444')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'Class Name: republican'}, {'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, 'confidence: 0.9855072463768116')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9927007299270073')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican', 'religious-groups-in-schools: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9927007299270073')
({'el-salvador-aid: yes', 'Class Name: republican', 'crime: yes'}, {'mx-missile: no', 'physician-fee-freeze: yes'}, 'confidence: 0.912751677852349')
({'el-salvador-aid: yes', 'Class Name: republican', 'physician-fee-freeze: yes', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.918918918918919')
({'mx-missile: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'el-salvador-aid: yes', 'Class Name: republican'}, 'confidence: 0.9315068493150684')
({'el-salvador-aid: yes', 'mx-missile: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'Class Name: republican'}, 'confidence: 0.9379310344827586')
({'mx-missile: no', 'Class Name: republican'}, {'el-salvador-aid: yes', 'physician-fee-freeze: yes', 'crime: yes'}, 'confidence: 0.9315068493150684')
({'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9379310344827586')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican'}, {'physician-fee-freeze: yes', 'crime: yes'}, 'confidence: 0.9379310344827586')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9444444444444444')
({'mx-missile: no', 'Class Name: republican', 'crime: yes'}, {'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, 'confidence: 0.9855072463768116')
({'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9927007299270073')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican', 'crime: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9927007299270073')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9060402684563759')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.9246575342465754')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9507042253521126')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9712230215827338')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9507042253521126')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9574468085106383')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9926470588235294')
({'el-salvador-aid: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.9060402684563759')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9060402684563759')
({'el-salvador-aid: yes', 'religious-groups-in-schools: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9507042253521126')
({'mx-missile: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9310344827586207')
({'el-salvador-aid: yes', 'mx-missile: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9574468085106383')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9712230215827338')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.9178082191780822')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9710144927536232')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9436619718309859')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9370629370629371')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9236111111111112')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.910958904109589')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9300699300699301')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.95')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.95')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9568345323741008')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9925373134328358')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.9305555555555556')
({'el-salvador-aid: yes', 'mx-missile: no', 'religious-groups-in-schools: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9305555555555556')
({'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9436619718309859')
({'el-salvador-aid: yes', 'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9571428571428572')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9852941176470589')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9102564102564102')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.922077922077922')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9281045751633987')
({'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'religious-groups-in-schools: yes'}, {'crime: yes'}, 'confidence: 0.9530201342281879')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9342105263157895')
({'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9466666666666667')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9861111111111112')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.9054054054054054')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9305555555555556')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no'}, {'crime: yes'}, 'confidence: 0.9571428571428572')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9305555555555556')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9436619718309859')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9852941176470589')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'el-salvador-aid: yes', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.9013157894736842')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.9072847682119205')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no', 'religious-groups-in-schools: yes'}, {'crime: yes'}, 'confidence: 0.9448275862068966')
({'duty-free-exports: no', 'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9194630872483222')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.958041958041958')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'mx-missile: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9647887323943662')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'mx-missile: no'}, 'confidence: 0.910958904109589')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9300699300699301')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.95')
({'el-salvador-aid: yes', 'mx-missile: no', 'religious-groups-in-schools: yes', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9236111111111112')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9366197183098591')
({'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9568345323741008')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9779411764705882')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9166666666666666')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no'}, {'mx-missile: no'}, 'confidence: 0.9428571428571428')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no', 'religious-groups-in-schools: yes'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9103448275862069')
({'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9565217391304348')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9705882352941176')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no', 'crime: yes'}, 'confidence: 0.9041095890410958')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9428571428571428')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.9496402877697842')
({'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: yes', 'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9428571428571428')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9496402877697842')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9924812030075187')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9166666666666666')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no', 'crime: yes'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9230769230769231')
({'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no'}, {'crime: yes'}, 'confidence: 0.9565217391304348')
({'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9850746268656716')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9263803680981595')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'mx-missile: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9556962025316456')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9207317073170732')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.94375')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9041916167664671')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9805194805194806')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9207317073170732')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9019607843137255')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'mx-missile: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9452054794520548')
({'mx-missile: yes', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.965034965034965')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9019607843137255')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9424460431654677')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.903448275862069')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9703703703703703')
